               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.053255,            0.024307,           0.0077861,             0.82835,             0.82865,             0.83983,             0.32042,            0.056394,            0.021202,           0.0054596,            0.008746,            0.008746,            0.008746
                  40,            0.053392,            0.022165,           0.0084439,             0.82099,             0.83688,             0.85609,             0.37427,            0.052539,            0.020607,           0.0061264,            0.008713,            0.008713,            0.008713
                  41,            0.052691,            0.024159,           0.0071716,             0.79437,             0.83268,             0.83596,             0.35918,            0.055169,            0.020603,            0.003891,             0.00868,             0.00868,             0.00868
                  42,            0.053409,            0.022151,           0.0078437,             0.85649,             0.77897,             0.85016,             0.37875,            0.052741,            0.020878,           0.0037094,            0.008647,            0.008647,            0.008647
                  43,            0.052629,            0.022847,            0.008144,             0.82451,             0.81731,             0.84075,             0.33768,            0.054368,             0.02026,           0.0038734,            0.008614,            0.008614,            0.008614
                  44,            0.052128,            0.022969,           0.0072069,             0.85407,             0.81784,              0.8379,             0.31136,            0.053542,            0.020561,           0.0033943,            0.008581,            0.008581,            0.008581
                  45,            0.051366,            0.023161,           0.0072214,             0.87063,             0.84137,             0.86942,             0.34693,             0.05108,            0.020634,           0.0035309,            0.008548,            0.008548,            0.008548
                  46,            0.049901,            0.023094,           0.0066773,             0.87392,             0.81314,             0.84589,             0.38185,            0.052579,            0.020622,           0.0034378,            0.008515,            0.008515,            0.008515
                  47,            0.050565,            0.022177,            0.006913,             0.91719,             0.80784,             0.86554,             0.38766,            0.050525,            0.020309,           0.0033531,            0.008482,            0.008482,            0.008482
                  48,            0.048906,             0.02256,           0.0064911,             0.87309,             0.82872,             0.85818,             0.35279,            0.050391,             0.02034,           0.0029465,            0.008449,            0.008449,            0.008449
                  49,            0.048967,            0.022666,           0.0071389,             0.82431,             0.81329,             0.84811,             0.34262,            0.051875,             0.02063,           0.0038315,            0.008416,            0.008416,            0.008416
                  50,             0.04913,            0.022209,           0.0069615,             0.87445,             0.84969,             0.86444,             0.38138,            0.049865,            0.020317,           0.0044281,            0.008383,            0.008383,            0.008383
                  51,            0.050274,            0.021005,           0.0071892,             0.85399,             0.77443,             0.83325,             0.32567,            0.053024,            0.021366,           0.0042671,             0.00835,             0.00835,             0.00835
                  52,            0.048954,            0.021148,           0.0061592,             0.92087,             0.81109,             0.85074,             0.35341,              0.0517,            0.020817,           0.0037506,            0.008317,            0.008317,            0.008317
                  53,            0.048873,             0.02141,           0.0066346,              0.8524,             0.78878,             0.85051,             0.34592,            0.052011,            0.020134,           0.0026604,            0.008284,            0.008284,            0.008284
                  54,            0.047374,            0.021618,           0.0062177,             0.85847,             0.87599,             0.88483,             0.37254,            0.049879,            0.020576,           0.0031258,            0.008251,            0.008251,            0.008251
                  55,            0.048282,            0.021697,            0.005744,             0.89968,              0.8489,             0.88222,             0.37809,            0.048893,            0.019714,           0.0042191,            0.008218,            0.008218,            0.008218
                  56,            0.046505,            0.021097,           0.0053618,             0.86023,             0.87164,             0.88082,             0.36344,             0.04932,            0.019768,           0.0042633,            0.008185,            0.008185,            0.008185
                  57,            0.048246,            0.021813,             0.00508,             0.90998,             0.82126,             0.87134,             0.36393,            0.048266,            0.019779,           0.0033409,            0.008152,            0.008152,            0.008152
                  58,            0.047515,            0.021279,           0.0059779,             0.91052,             0.81679,             0.88585,             0.39209,            0.048848,            0.020569,           0.0030487,            0.008119,            0.008119,            0.008119
                  59,            0.047412,            0.021582,           0.0059536,             0.89848,             0.79749,             0.84563,             0.34591,            0.049913,            0.019962,            0.003447,            0.008086,            0.008086,            0.008086
                  60,             0.04706,            0.021527,           0.0064854,             0.90717,             0.83905,             0.87867,              0.3748,            0.049883,            0.020313,           0.0037193,            0.008053,            0.008053,            0.008053
                  61,            0.045611,            0.021782,           0.0060802,             0.92026,             0.83136,             0.88731,             0.36773,            0.048137,            0.020153,           0.0031769,             0.00802,             0.00802,             0.00802
                  62,            0.046665,            0.022469,           0.0055696,             0.89818,             0.84565,             0.88672,             0.42313,            0.047707,            0.020218,           0.0030861,            0.007987,            0.007987,            0.007987
                  63,            0.046851,            0.021872,           0.0057174,             0.83221,             0.84509,             0.86571,             0.37954,            0.048287,            0.020416,           0.0035965,            0.007954,            0.007954,            0.007954
                  64,            0.046148,             0.02206,            0.005272,             0.86818,             0.85043,             0.84286,             0.35393,            0.049807,            0.020809,           0.0034126,            0.007921,            0.007921,            0.007921
                  65,            0.044791,            0.021261,            0.005192,             0.84794,             0.85358,             0.86421,             0.39327,             0.04729,            0.020615,           0.0041748,            0.007888,            0.007888,            0.007888
                  66,            0.045514,            0.021134,           0.0056652,             0.89666,             0.83234,             0.85514,             0.38438,            0.047326,            0.020847,           0.0036873,            0.007855,            0.007855,            0.007855
                  67,             0.04347,             0.02015,           0.0051785,             0.92825,             0.83979,             0.89205,             0.39057,             0.04647,            0.020218,           0.0023258,            0.007822,            0.007822,            0.007822
                  68,            0.045502,             0.02002,           0.0051413,             0.90419,             0.85861,             0.89145,             0.38793,            0.047012,            0.020245,           0.0023251,            0.007789,            0.007789,            0.007789
                  69,            0.045489,            0.021737,           0.0047942,             0.90144,             0.81786,             0.87009,             0.37556,            0.046899,            0.019875,           0.0034721,            0.007756,            0.007756,            0.007756
                  70,            0.045598,            0.021295,           0.0048333,               0.876,             0.86753,             0.88074,             0.37829,            0.047399,            0.019939,           0.0030556,            0.007723,            0.007723,            0.007723
                  71,            0.044125,             0.02024,            0.004696,             0.88431,             0.84832,             0.88721,             0.35717,            0.047429,            0.020126,           0.0025795,             0.00769,             0.00769,             0.00769
                  72,            0.044292,            0.021061,           0.0046775,             0.91909,             0.86285,             0.89551,             0.40961,             0.04546,            0.020706,           0.0023224,            0.007657,            0.007657,            0.007657
                  73,            0.042931,            0.021107,           0.0047748,             0.89493,              0.8459,             0.86201,             0.37866,            0.047209,            0.020588,           0.0022568,            0.007624,            0.007624,            0.007624
                  74,            0.043465,            0.020638,           0.0046423,              0.9112,             0.85307,             0.89394,             0.42076,            0.045542,            0.019608,           0.0023777,            0.007591,            0.007591,            0.007591
                  75,            0.042619,            0.020064,           0.0051564,             0.89806,             0.85979,             0.88824,             0.40549,            0.047738,            0.019943,           0.0025261,            0.007558,            0.007558,            0.007558
                  76,            0.044258,            0.021249,           0.0046226,             0.90728,             0.83646,              0.8937,             0.39353,            0.046878,            0.019859,           0.0025665,            0.007525,            0.007525,            0.007525
                  77,            0.042617,             0.02041,           0.0052158,             0.87024,             0.80637,              0.8541,             0.39303,              0.0476,            0.019768,           0.0035507,            0.007492,            0.007492,            0.007492
                  78,            0.043854,            0.020526,           0.0045026,             0.90085,             0.84883,             0.88226,             0.38987,            0.046664,            0.020134,            0.003466,            0.007459,            0.007459,            0.007459
                  79,             0.04327,            0.020349,           0.0045926,             0.86606,             0.84339,             0.87683,             0.36648,            0.046857,            0.020157,           0.0030746,            0.007426,            0.007426,            0.007426
                  80,            0.043955,            0.021385,           0.0041052,             0.85415,             0.82734,             0.85791,             0.36192,            0.047854,            0.019913,             0.00271,            0.007393,            0.007393,            0.007393
                  81,             0.04418,            0.020498,           0.0046767,             0.92117,             0.84969,             0.87444,             0.35484,            0.047706,            0.020332,           0.0031937,             0.00736,             0.00736,             0.00736
                  82,            0.043304,            0.020735,           0.0041887,              0.9104,             0.84107,             0.87467,             0.37487,            0.046416,            0.020504,           0.0026787,            0.007327,            0.007327,            0.007327
                  83,            0.042169,            0.020683,           0.0041516,             0.90431,             0.84841,             0.88688,             0.38211,            0.046539,            0.020546,           0.0023552,            0.007294,            0.007294,            0.007294
                  84,             0.04263,            0.019466,           0.0042092,             0.88872,             0.85693,             0.87156,             0.36696,            0.047491,            0.020618,           0.0027733,            0.007261,            0.007261,            0.007261
                  85,            0.042106,            0.021177,           0.0044185,             0.87372,             0.79887,             0.86828,              0.3792,            0.045966,            0.020493,           0.0025967,            0.007228,            0.007228,            0.007228
                  86,            0.042886,            0.020506,            0.003787,             0.84184,             0.87731,              0.8702,             0.37771,            0.047122,            0.020531,           0.0022655,            0.007195,            0.007195,            0.007195
                  87,             0.04327,            0.020759,           0.0044305,             0.86891,             0.84398,             0.84002,             0.38676,            0.046224,            0.020611,           0.0022018,            0.007162,            0.007162,            0.007162
                  88,            0.039671,            0.020782,           0.0038472,             0.89377,             0.83811,             0.88233,             0.40792,            0.046229,              0.0205,           0.0025524,            0.007129,            0.007129,            0.007129
                  89,            0.041051,            0.020304,           0.0042347,              0.9137,              0.8378,             0.90262,             0.42039,            0.045755,            0.020302,           0.0023922,            0.007096,            0.007096,            0.007096
                  90,            0.040406,             0.01998,           0.0035302,             0.90735,               0.829,             0.85547,             0.41571,            0.046209,            0.020393,           0.0021942,            0.007063,            0.007063,            0.007063
                  91,            0.041689,            0.020046,           0.0041824,             0.94925,             0.84486,             0.89526,             0.40989,            0.045016,            0.020599,           0.0025921,             0.00703,             0.00703,             0.00703
                  92,              0.0422,             0.01996,           0.0038937,             0.89535,             0.80299,             0.85317,             0.42205,            0.044632,            0.020451,           0.0022732,            0.006997,            0.006997,            0.006997
                  93,            0.041843,             0.02096,           0.0038964,             0.88805,             0.83556,             0.86481,             0.38166,            0.045335,            0.021206,           0.0022549,            0.006964,            0.006964,            0.006964
                  94,            0.040982,            0.020465,           0.0039772,             0.80868,             0.85552,             0.85213,             0.38744,            0.046002,              0.0205,           0.0028282,            0.006931,            0.006931,            0.006931
                  95,            0.039826,            0.019741,           0.0040234,             0.84333,             0.80981,             0.85756,             0.35739,            0.047724,             0.02042,           0.0032677,            0.006898,            0.006898,            0.006898
                  96,            0.040446,            0.020891,           0.0041804,              0.8616,             0.88591,             0.88071,             0.39563,            0.046217,            0.020607,           0.0033691,            0.006865,            0.006865,            0.006865
                  97,            0.040555,            0.019881,           0.0038884,             0.92432,             0.86365,             0.89913,             0.38751,            0.044789,            0.020466,            0.005175,            0.006832,            0.006832,            0.006832
                  98,            0.040668,            0.020154,           0.0040552,              0.8611,             0.86138,             0.88041,             0.43428,            0.045661,            0.020102,            0.003495,            0.006799,            0.006799,            0.006799
                  99,            0.040153,            0.019729,           0.0037513,             0.90549,             0.84112,             0.90362,             0.42905,            0.045362,            0.019955,           0.0035835,            0.006766,            0.006766,            0.006766
                 100,            0.039827,            0.019884,           0.0037995,             0.91198,             0.85246,             0.89739,             0.42467,             0.04718,            0.020264,           0.0041718,            0.006733,            0.006733,            0.006733
                 101,            0.039761,            0.019811,           0.0036635,             0.91606,             0.82767,              0.8561,             0.40485,            0.045334,            0.020615,           0.0040947,              0.0067,              0.0067,              0.0067
                 102,            0.039666,            0.019544,           0.0041617,             0.88883,             0.85967,             0.85674,             0.37429,            0.049308,            0.021114,           0.0031235,            0.006667,            0.006667,            0.006667
                 103,            0.039629,            0.019073,           0.0038699,             0.90976,             0.88029,             0.87281,             0.40305,            0.045449,            0.020832,           0.0027222,            0.006634,            0.006634,            0.006634
                 104,            0.040359,            0.019665,           0.0038548,             0.86812,             0.87786,             0.87113,             0.35909,             0.04793,            0.020721,           0.0025414,            0.006601,            0.006601,            0.006601
                 105,            0.039814,            0.020203,           0.0036364,             0.93121,              0.8669,              0.8855,             0.40098,            0.044764,            0.020222,           0.0022999,            0.006568,            0.006568,            0.006568
                 106,            0.039106,            0.019895,            0.003863,             0.92278,             0.88481,             0.92591,             0.38308,            0.046122,            0.020432,           0.0027672,            0.006535,            0.006535,            0.006535
                 107,            0.038683,            0.019207,           0.0035947,             0.91559,             0.91631,             0.92597,             0.40815,            0.046692,            0.020145,           0.0031761,            0.006502,            0.006502,            0.006502
                 108,            0.039543,            0.019428,           0.0035819,             0.90471,             0.85884,             0.89148,             0.38658,             0.04538,            0.020267,           0.0030617,            0.006469,            0.006469,            0.006469
                 109,            0.039515,            0.019367,           0.0038215,             0.92356,             0.88385,             0.89575,             0.40406,            0.044596,            0.019848,           0.0037323,            0.006436,            0.006436,            0.006436
                 110,            0.039055,             0.01902,           0.0032162,             0.90079,             0.84698,             0.89774,             0.41106,            0.043706,            0.020203,           0.0038559,            0.006403,            0.006403,            0.006403
                 111,             0.03897,            0.018307,           0.0036624,             0.87776,             0.87466,             0.87585,             0.38609,             0.04665,            0.020641,           0.0035095,             0.00637,             0.00637,             0.00637
                 112,            0.038611,            0.019411,           0.0039274,             0.92986,             0.85645,             0.89538,             0.39484,            0.044542,            0.020489,           0.0028778,            0.006337,            0.006337,            0.006337
                 113,            0.037441,            0.018633,           0.0039706,             0.91226,              0.8666,             0.87089,             0.37815,            0.045109,             0.02113,           0.0033409,            0.006304,            0.006304,            0.006304
                 114,            0.037978,            0.019241,           0.0036985,              0.8762,              0.8713,             0.86735,             0.35505,            0.045738,            0.020885,           0.0028748,            0.006271,            0.006271,            0.006271
                 115,            0.038218,            0.019196,           0.0035304,             0.90944,             0.90107,             0.90524,             0.38277,            0.045285,            0.020706,           0.0023407,            0.006238,            0.006238,            0.006238
                 116,            0.037066,            0.019944,           0.0038052,              0.9057,             0.91379,             0.92313,             0.41394,            0.044119,            0.020096,           0.0022774,            0.006205,            0.006205,            0.006205
                 117,             0.03743,            0.019746,           0.0040921,             0.90236,             0.88598,             0.91411,             0.42257,            0.043553,            0.019537,           0.0029419,            0.006172,            0.006172,            0.006172
                 118,            0.036495,            0.018734,           0.0034317,             0.89096,             0.88285,              0.9069,             0.40127,            0.044426,            0.019939,           0.0031578,            0.006139,            0.006139,            0.006139
                 119,            0.037836,            0.018534,           0.0034702,             0.90322,             0.88384,             0.85016,             0.38776,            0.044702,            0.020523,            0.003315,            0.006106,            0.006106,            0.006106
                 120,            0.038108,            0.019184,           0.0037902,             0.89093,             0.85262,              0.8676,             0.38948,            0.043782,            0.020142,           0.0037788,            0.006073,            0.006073,            0.006073
                 121,            0.037252,            0.018156,           0.0035506,             0.89264,             0.90005,             0.89766,             0.37928,            0.045444,            0.020226,           0.0037582,             0.00604,             0.00604,             0.00604
                 122,            0.037433,            0.019421,           0.0035237,             0.89408,             0.84999,             0.87553,             0.38966,            0.044986,            0.020077,           0.0036705,            0.006007,            0.006007,            0.006007
                 123,            0.036756,            0.018778,           0.0028813,             0.92675,             0.89226,             0.91959,              0.4191,            0.044162,            0.020012,           0.0028534,            0.005974,            0.005974,            0.005974
                 124,             0.03788,            0.019296,           0.0031637,               0.891,             0.86118,             0.87506,             0.40429,            0.045151,            0.020351,           0.0021523,            0.005941,            0.005941,            0.005941
                 125,             0.03558,            0.019046,           0.0027251,             0.92067,             0.87366,             0.90868,             0.40702,            0.045179,            0.021057,           0.0026264,            0.005908,            0.005908,            0.005908
                 126,            0.038042,            0.019254,           0.0031614,             0.96323,              0.8565,             0.92288,             0.42049,            0.044062,            0.020672,           0.0023331,            0.005875,            0.005875,            0.005875
                 127,            0.037039,            0.019979,           0.0031289,             0.95087,             0.86142,             0.93422,             0.43073,            0.043471,            0.020721,           0.0022419,            0.005842,            0.005842,            0.005842
                 128,            0.036361,            0.018563,           0.0033797,              0.9317,             0.86712,             0.89875,              0.4163,            0.043975,            0.020191,           0.0034958,            0.005809,            0.005809,            0.005809
                 129,            0.036423,            0.017967,           0.0033892,              0.9205,              0.9069,             0.92558,             0.40855,            0.043183,            0.020226,           0.0032516,            0.005776,            0.005776,            0.005776
                 130,            0.035226,            0.017987,            0.003132,             0.92012,             0.90769,              0.9218,             0.43301,            0.043767,            0.019772,           0.0039864,            0.005743,            0.005743,            0.005743
                 131,            0.037751,            0.019834,           0.0030992,             0.89355,             0.86157,             0.86992,             0.41469,            0.044579,            0.020199,           0.0036118,             0.00571,             0.00571,             0.00571
                 132,            0.037585,             0.01886,           0.0031456,             0.89476,              0.8525,             0.87934,             0.40975,            0.044653,            0.020222,           0.0046471,            0.005677,            0.005677,            0.005677
                 133,            0.035581,             0.01906,           0.0033702,             0.90327,             0.90321,             0.90283,             0.40039,            0.044788,            0.020569,           0.0039337,            0.005644,            0.005644,            0.005644
                 134,            0.036053,            0.018037,           0.0032504,             0.94679,             0.87979,             0.91597,             0.40087,            0.043542,            0.020596,           0.0031033,            0.005611,            0.005611,            0.005611
                 135,            0.035174,            0.017479,           0.0032245,             0.92714,             0.86456,             0.89511,             0.39444,            0.043639,            0.020763,           0.0030121,            0.005578,            0.005578,            0.005578
                 136,            0.034846,            0.017965,           0.0029522,             0.92746,             0.87559,             0.90514,             0.39946,            0.043891,            0.020092,           0.0030537,            0.005545,            0.005545,            0.005545
                 137,            0.037009,            0.019383,           0.0029508,             0.90641,             0.85407,             0.85781,             0.40304,            0.045688,            0.020809,           0.0029545,            0.005512,            0.005512,            0.005512
                 138,            0.035319,            0.018463,           0.0027943,             0.94744,              0.8459,             0.90055,              0.4022,            0.044827,            0.021313,           0.0031307,            0.005479,            0.005479,            0.005479
                 139,            0.034162,            0.018074,           0.0027709,             0.89844,             0.87221,             0.88841,             0.42301,            0.043828,            0.021183,           0.0033253,            0.005446,            0.005446,            0.005446
                 140,             0.03459,            0.018351,             0.00315,             0.90846,             0.84902,             0.86703,             0.41574,            0.043901,            0.020382,           0.0031013,            0.005413,            0.005413,            0.005413
                 141,            0.035138,            0.018616,           0.0031078,              0.9124,             0.86217,              0.8878,             0.41322,             0.04435,            0.020443,           0.0026176,             0.00538,             0.00538,             0.00538
                 142,            0.035224,             0.01832,           0.0031091,             0.93603,             0.85185,             0.89671,             0.40232,            0.044509,            0.021397,           0.0033417,            0.005347,            0.005347,            0.005347
                 143,            0.036474,            0.017554,           0.0032811,             0.93695,              0.8365,             0.89198,             0.40216,            0.043952,            0.021118,            0.003994,            0.005314,            0.005314,            0.005314
                 144,            0.035655,            0.017048,           0.0030295,             0.92846,             0.82907,             0.87993,             0.39555,            0.045227,            0.021912,           0.0051102,            0.005281,            0.005281,            0.005281
                 145,            0.034715,            0.018996,           0.0029035,             0.89562,             0.86238,             0.90221,             0.41644,            0.043521,            0.021267,           0.0040077,            0.005248,            0.005248,            0.005248
                 146,            0.034486,            0.017779,           0.0027983,             0.91155,              0.8614,              0.8874,             0.40674,            0.044895,            0.021435,            0.003611,            0.005215,            0.005215,            0.005215
                 147,            0.035239,            0.018499,           0.0029176,             0.92048,             0.86163,             0.88839,             0.41226,            0.044561,            0.021122,           0.0033485,            0.005182,            0.005182,            0.005182
                 148,            0.033851,            0.018157,             0.00334,             0.92374,              0.8754,             0.90026,             0.42584,            0.044222,            0.020924,           0.0031609,            0.005149,            0.005149,            0.005149
                 149,             0.03397,            0.018304,           0.0025018,             0.88266,             0.87632,             0.89224,             0.41658,            0.044233,            0.020893,           0.0032425,            0.005116,            0.005116,            0.005116
                 150,             0.03478,            0.017615,            0.003212,             0.91213,             0.84022,             0.88391,             0.39929,            0.044655,            0.021358,           0.0034821,            0.005083,            0.005083,            0.005083
                 151,            0.034855,            0.018473,           0.0029119,             0.89029,             0.89153,             0.88978,              0.4012,            0.044728,             0.02142,           0.0031387,             0.00505,             0.00505,             0.00505
                 152,            0.034495,            0.017721,           0.0025348,             0.93158,             0.87258,              0.8811,             0.40574,            0.044324,            0.021049,           0.0034615,            0.005017,            0.005017,            0.005017
                 153,            0.034689,            0.017134,           0.0026689,             0.95278,             0.87811,             0.89684,             0.40737,            0.044681,            0.021194,           0.0034859,            0.004984,            0.004984,            0.004984
                 154,            0.033585,            0.017604,           0.0026005,             0.95327,             0.88967,              0.9136,             0.42565,            0.043775,            0.020954,            0.003344,            0.004951,            0.004951,            0.004951
                 155,             0.03446,            0.017929,           0.0027593,             0.95484,              0.8341,             0.89514,             0.42722,             0.04312,            0.020775,           0.0033142,            0.004918,            0.004918,            0.004918
                 156,            0.033314,             0.01749,           0.0028408,             0.94409,             0.83047,             0.88234,             0.40474,            0.044176,            0.020893,           0.0031403,            0.004885,            0.004885,            0.004885
                 157,            0.033994,            0.018241,           0.0030784,             0.93735,             0.87714,             0.91803,             0.40012,             0.04418,            0.020893,           0.0024174,            0.004852,            0.004852,            0.004852
                 158,            0.034094,             0.01821,           0.0026599,             0.92681,             0.88339,             0.89669,             0.38388,            0.045343,            0.020966,            0.002914,            0.004819,            0.004819,            0.004819
                 159,             0.03386,            0.017983,           0.0024097,             0.94264,             0.86678,             0.89378,             0.40436,            0.044683,            0.021099,           0.0031746,            0.004786,            0.004786,            0.004786
                 160,            0.033137,            0.017232,           0.0024865,             0.94886,             0.88415,             0.90292,             0.41198,            0.044531,            0.020721,           0.0033195,            0.004753,            0.004753,            0.004753
                 161,            0.034349,            0.017883,           0.0028312,             0.92966,             0.88418,             0.90681,             0.41428,            0.043761,            0.020905,           0.0038483,             0.00472,             0.00472,             0.00472
                 162,            0.033666,            0.017582,           0.0028302,              0.9195,              0.8955,             0.91918,             0.41197,            0.044842,            0.021053,           0.0036438,            0.004687,            0.004687,            0.004687
                 163,            0.032453,             0.01748,           0.0024869,             0.88846,             0.90719,             0.91782,             0.40154,            0.045619,            0.020863,           0.0027256,            0.004654,            0.004654,            0.004654
