               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11121,            0.044694,            0.044381,                   0,                   0,                   0,                   0,            0.098232,            0.039505,            0.043738,              0.0829,              0.0019,              0.0019
                   1,             0.10569,            0.046016,            0.043969,                   0,                   0,                   0,                   0,            0.094252,            0.040939,            0.043689,            0.064887,           0.0038871,           0.0038871
                   2,             0.10081,            0.048656,            0.043505,                   0,                   0,                   0,                   0,            0.091363,            0.042442,            0.043652,            0.046861,           0.0058611,           0.0058611
                   3,            0.095614,            0.050255,            0.043131,           0.0004141,             0.12069,           0.0003922,          9.0281e-05,            0.087844,            0.043159,            0.043481,            0.028822,           0.0078218,           0.0078218
                   4,            0.093396,            0.049592,            0.042705,           0.0015776,             0.14042,           0.0010464,          0.00024897,            0.085447,             0.04438,            0.042993,            0.010769,           0.0097693,           0.0097693
                   5,            0.090461,            0.050198,            0.041309,           0.0079192,              0.4877,           0.0089338,           0.0028635,            0.084075,            0.043678,             0.04176,            0.009835,            0.009835,            0.009835
                   6,            0.088277,            0.050063,            0.039049,           0.0026233,             0.21288,           0.0020596,          0.00044216,            0.091911,            0.039635,             0.04079,            0.009835,            0.009835,            0.009835
                   7,            0.085157,            0.051198,            0.036569,           0.0085092,             0.61089,            0.025091,           0.0063186,            0.087991,            0.037846,             0.03858,            0.009802,            0.009802,            0.009802
                   8,            0.083718,            0.044731,            0.033885,            0.056815,              0.3339,            0.053504,            0.015227,            0.086889,            0.034111,            0.031873,            0.009769,            0.009769,            0.009769
                   9,             0.08402,            0.039119,            0.031977,             0.14996,             0.36803,             0.17719,            0.051772,            0.081344,            0.033905,            0.030621,            0.009736,            0.009736,            0.009736
                  10,            0.080116,            0.037821,             0.03069,             0.26511,             0.55283,             0.33907,             0.10341,            0.074851,            0.030754,            0.029541,            0.009703,            0.009703,            0.009703
                  11,            0.077294,            0.035206,            0.029507,             0.25337,             0.77949,              0.3704,            0.096046,            0.074848,            0.037811,            0.027393,             0.00967,             0.00967,             0.00967
                  12,            0.075159,            0.032143,            0.029197,             0.16203,               0.422,             0.16784,            0.044305,             0.07332,             0.03355,            0.027667,            0.009637,            0.009637,            0.009637
                  13,              0.0732,            0.031226,            0.028329,             0.29966,             0.65433,             0.36956,             0.12316,            0.070646,            0.037781,            0.027173,            0.009604,            0.009604,            0.009604
                  14,            0.071169,            0.030122,            0.028005,             0.29248,             0.52888,             0.34063,            0.085939,            0.065651,            0.028381,            0.025879,            0.009571,            0.009571,            0.009571
                  15,            0.068328,            0.029515,            0.027532,             0.48582,             0.63133,             0.57732,             0.21745,            0.063324,             0.02636,            0.024896,            0.009538,            0.009538,            0.009538
                  16,            0.069858,             0.02929,            0.026846,             0.35398,             0.64445,             0.44487,             0.13854,            0.062141,            0.023266,            0.025354,            0.009505,            0.009505,            0.009505
                  17,            0.065984,            0.028761,            0.026492,             0.42269,             0.70918,             0.49976,             0.17883,            0.064942,            0.026955,            0.023477,            0.009472,            0.009472,            0.009472
                  18,             0.06631,            0.027417,            0.025604,             0.37431,              0.7788,             0.57224,             0.19153,            0.059414,            0.023163,             0.02309,            0.009439,            0.009439,            0.009439
                  19,            0.063334,            0.027732,            0.025599,             0.45193,             0.75455,             0.62064,             0.22499,            0.062509,            0.022156,            0.024072,            0.009406,            0.009406,            0.009406
                  20,             0.06363,            0.026628,             0.02542,             0.52873,             0.67192,              0.6355,             0.21703,              0.0592,            0.022717,            0.023071,            0.009373,            0.009373,            0.009373
                  21,            0.060833,            0.026326,            0.024861,             0.57743,             0.65461,             0.65566,             0.24758,            0.059294,            0.023201,            0.022498,             0.00934,             0.00934,             0.00934
                  22,            0.060758,            0.026148,             0.02406,             0.72512,             0.61023,             0.68517,             0.22462,            0.064146,             0.02346,            0.021695,            0.009307,            0.009307,            0.009307
                  23,               0.062,            0.024807,            0.023174,             0.54984,             0.64535,             0.69038,             0.26006,            0.059548,            0.022919,            0.020862,            0.009274,            0.009274,            0.009274
                  24,            0.060386,            0.025296,            0.022324,             0.64278,             0.62911,             0.66571,             0.26316,            0.061617,            0.023041,            0.020306,            0.009241,            0.009241,            0.009241
                  25,            0.059234,             0.02531,            0.022031,             0.66886,             0.67282,             0.70721,             0.27099,            0.056794,            0.022171,            0.018213,            0.009208,            0.009208,            0.009208
                  26,            0.058356,            0.024742,            0.021235,             0.73694,             0.63738,             0.74299,             0.27382,            0.059232,            0.022758,             0.01723,            0.009175,            0.009175,            0.009175
                  27,            0.058807,            0.025644,            0.019901,              0.5854,             0.67408,             0.65486,             0.20069,            0.058655,            0.021843,            0.015648,            0.009142,            0.009142,            0.009142
                  28,            0.058871,            0.024635,            0.018627,             0.79675,             0.72542,             0.81159,             0.29931,            0.055924,            0.021763,            0.014394,            0.009109,            0.009109,            0.009109
                  29,            0.056237,             0.02453,            0.016574,             0.70666,             0.75837,             0.76663,             0.26956,            0.058223,            0.020947,            0.012146,            0.009076,            0.009076,            0.009076
                  30,            0.057017,            0.024557,            0.015229,             0.76243,             0.77071,             0.81576,             0.32957,            0.055105,            0.020912,            0.010693,            0.009043,            0.009043,            0.009043
                  31,            0.057912,            0.024623,            0.014661,             0.76851,             0.79148,             0.81783,             0.34235,            0.058385,            0.020855,           0.0093689,             0.00901,             0.00901,             0.00901
                  32,            0.057885,            0.023441,               0.013,             0.69148,             0.70145,             0.77858,             0.28398,            0.055877,            0.021061,           0.0087082,            0.008977,            0.008977,            0.008977
                  33,            0.056702,            0.024363,            0.012044,             0.81506,             0.75404,             0.83648,             0.36545,             0.05483,            0.020977,           0.0079895,            0.008944,            0.008944,            0.008944
                  34,             0.05694,            0.023328,            0.010755,              0.7719,             0.67994,             0.77606,             0.25284,            0.057153,            0.020844,           0.0067261,            0.008911,            0.008911,            0.008911
                  35,            0.055891,            0.023591,            0.010491,             0.85244,              0.8162,             0.85774,             0.32971,            0.054507,            0.020893,            0.006987,            0.008878,            0.008878,            0.008878
                  36,             0.05552,            0.023737,           0.0098196,             0.82536,             0.75658,             0.80553,             0.28699,            0.055883,            0.020466,           0.0057007,            0.008845,            0.008845,            0.008845
                  37,            0.053782,            0.022668,            0.010157,             0.83695,             0.75853,             0.83031,             0.32357,            0.055377,            0.021759,           0.0075089,            0.008812,            0.008812,            0.008812
                  38,            0.054171,            0.024185,           0.0083292,             0.82868,              0.7924,             0.82334,             0.30972,            0.057781,            0.020985,           0.0059158,            0.008779,            0.008779,            0.008779
